sku_id,segment,revenue_annual,demand_volatility_cv,current_safety_stock_weeks,recommended_safety_stock_weeks,avg_weekly_demand,unit_cost,current_safety_stock_units,current_safety_stock_value,recommended_safety_stock_units,recommended_safety_stock_value,stockout_rate
SKU_0023,High Revenue + High Volatility,100450.13,0.5497,2.0,3.5,67,96.79279857426957,134.0,12970.24,234.0,22649.51,0.0629
SKU_0024,High Revenue + High Volatility,105645.33,0.5483,2.0,3.5,50,98.11141106571912,100.0,9811.14,175.0,17169.5,0.0843
SKU_0025,High Revenue + High Volatility,111924.9,0.7251,2.0,3.5,127,158.66340089211755,254.0,40300.5,444.0,70446.55,0.071
SKU_0026,High Revenue + High Volatility,134962.32,0.7789,2.0,3.5,164,161.87555180464466,328.0,53095.18,574.0,92916.57,0.0816
SKU_0027,High Revenue + High Volatility,93977.16,0.7944,2.0,3.5,162,80.0538715323069,324.0,25937.45,567.0,45390.55,0.083
SKU_0028,High Revenue + High Volatility,115996.41,0.7014,2.0,3.5,163,180.21842202357965,326.0,58751.21,570.0,102724.5,0.0885
SKU_0029,High Revenue + High Volatility,121469.02,0.5505,2.0,3.5,112,157.23860603033717,224.0,35221.45,392.0,61637.53,0.096
SKU_0030,High Revenue + High Volatility,83251.53,0.4334,2.0,3.5,181,134.4125429515074,362.0,48657.34,634.0,85217.55,0.0943
SKU_0031,High Revenue + High Volatility,122528.14,0.7109,2.0,3.5,178,120.7298690153769,356.0,42979.83,623.0,75214.71,0.0623
SKU_0032,High Revenue + High Volatility,91936.69,0.6234,2.0,3.5,57,131.4849208684937,114.0,14989.28,200.0,26296.98,0.105
SKU_0033,High Revenue + High Volatility,84553.61,0.5697,2.0,3.5,104,73.88686074188968,208.0,15368.47,364.0,26894.82,0.117
SKU_0034,High Revenue + High Volatility,146421.99,0.7625,2.0,3.5,152,80.55518739144114,304.0,24488.78,532.0,42855.36,0.0809
SKU_0035,High Revenue + High Volatility,147594.24,0.4445,2.0,3.5,180,63.67467356092875,360.0,22922.88,630.0,40115.04,0.0708
SKU_0036,High Revenue + High Volatility,136587.81,0.5971,2.0,3.5,81,73.0487057241669,162.0,11833.89,284.0,20745.83,0.0924
SKU_0037,High Revenue + High Volatility,101322.96,0.4045,2.0,3.5,59,118.0540451907924,118.0,13930.38,206.0,24319.13,0.1023
SKU_0038,High Revenue + High Volatility,86837.05,0.5875,2.0,3.5,159,129.5531590592384,318.0,41197.9,556.0,72031.56,0.1007
SKU_0039,High Revenue + High Volatility,127896.31,0.4225,2.0,3.5,173,52.679283871747906,346.0,18227.03,606.0,31923.65,0.0967
SKU_0040,High Revenue + High Volatility,110810.67,0.4475,2.0,3.5,136,169.51967417960412,272.0,46109.35,476.0,80691.36,0.0688
SKU_0041,High Revenue + High Volatility,88542.68,0.447,2.0,3.5,104,94.12519600152169,208.0,19578.04,364.0,34261.57,0.1102
SKU_0042,High Revenue + High Volatility,114662.38,0.6597,2.0,3.5,81,186.77540524398665,162.0,30257.62,284.0,53044.22,0.0855
SKU_0043,High Revenue + High Volatility,82407.2,0.6984,2.0,3.5,184,195.12668954206666,368.0,71806.62,644.0,125661.59,0.0733
SKU_0044,High Revenue + High Volatility,143652.43,0.6333,2.0,3.5,142,77.81883120149814,284.0,22100.55,497.0,38675.96,0.0652
SKU_0045,High Revenue + High Volatility,98114.6,0.7849,2.0,3.5,57,119.3145936148491,114.0,13601.86,200.0,23862.92,0.085
SKU_0046,High Revenue + High Volatility,126376.56,0.5499,2.0,3.5,114,50.18477527496388,228.0,11442.13,399.0,20023.73,0.0971
SKU_0047,High Revenue + High Volatility,101819.78,0.5143,2.0,3.5,106,139.74908976836406,212.0,29626.81,371.0,51846.91,0.0999
SKU_0048,High Revenue + High Volatility,116404.76,0.7474,2.0,3.5,116,141.0959672394007,232.0,32734.26,406.0,57284.96,0.1178
SKU_0049,High Revenue + High Volatility,118269.72,0.4894,2.0,3.5,121,87.13099334050628,242.0,21085.7,424.0,36943.54,0.0692
SKU_0050,High Revenue + High Volatility,92939.81,0.7853,2.0,3.5,103,133.76190088747967,206.0,27554.95,360.0,48154.28,0.1191
SKU_0051,High Revenue + High Volatility,147870.92,0.4049,2.0,3.5,116,83.83102136656032,232.0,19448.8,406.0,34035.39,0.0993
SKU_0052,High Revenue + High Volatility,134259.3,0.788,2.0,3.5,100,74.1238203617285,200.0,14824.76,350.0,25943.34,0.0873
SKU_0053,High Revenue + High Volatility,145764.93,0.4173,2.0,3.5,146,147.7279200203397,292.0,43136.55,511.0,75488.97,0.1133
SKU_0054,High Revenue + High Volatility,142637.91,0.7565,2.0,3.5,141,98.88881959281123,282.0,27886.65,494.0,48851.08,0.1017
SKU_0055,High Revenue + High Volatility,121853.0,0.6111,2.0,3.5,57,138.53959083284337,114.0,15793.51,200.0,27707.92,0.0809
SKU_0056,High Revenue + High Volatility,144531.2,0.7972,2.0,3.5,84,114.98701234574834,168.0,19317.82,294.0,33806.18,0.113
SKU_0057,High Revenue + High Volatility,86194.48,0.4295,2.0,3.5,145,197.6527111104356,290.0,57319.29,508.0,100407.58,0.1
SKU_0058,High Revenue + High Volatility,93718.8,0.6215,2.0,3.5,137,72.43709640013486,274.0,19847.76,480.0,34769.81,0.1019
SKU_0059,High Revenue + High Volatility,83165.91,0.7877,2.0,3.5,127,119.68978949537153,254.0,30401.21,444.0,53142.27,0.1138
SKU_0060,High Revenue + High Volatility,102773.12,0.6092,2.0,3.5,81,152.06849395389878,162.0,24635.1,284.0,43187.45,0.0869
SKU_0061,High Revenue + High Volatility,107207.41,0.6518,2.0,3.5,169,109.33176258199529,338.0,36954.14,592.0,64724.4,0.0994
SKU_0062,High Revenue + High Volatility,98994.43,0.6783,2.0,3.5,95,196.20497778060349,190.0,37278.95,332.0,65140.05,0.1047
SKU_0063,High Revenue + High Volatility,138011.63,0.5818,2.0,3.5,193,158.28314418904026,386.0,61097.29,676.0,106999.41,0.0872
SKU_0064,High Revenue + High Volatility,104972.73,0.651,2.0,3.5,191,148.54757863467395,382.0,56745.18,668.0,99229.78,0.065
SKU_0065,High Revenue + High Volatility,99665.42,0.6337,2.0,3.5,104,163.5588901416835,208.0,34020.25,364.0,59535.44,0.1063
SKU_0066,High Revenue + High Volatility,117988.73,0.7605,2.0,3.5,56,192.89729570580755,112.0,21604.5,196.0,37807.87,0.0629
SKU_0067,High Revenue + High Volatility,89864.7,0.4182,2.0,3.5,123,186.172797947696,246.0,45798.51,430.0,80054.3,0.1031
SKU_0068,High Revenue + High Volatility,136153.79,0.5124,2.0,3.5,56,158.6427962189618,112.0,17767.99,196.0,31093.99,0.1147
SKU_0069,High Revenue + High Volatility,85218.55,0.7802,2.0,3.5,134,162.37424586519245,268.0,43516.3,469.0,76153.52,0.0808
SKU_0070,High Revenue + High Volatility,149082.09,0.7561,2.0,3.5,196,71.88831110527181,392.0,28180.22,686.0,49315.38,0.0661
SKU_0071,High Revenue + High Volatility,134057.13,0.5823,2.0,3.5,161,65.41886067389986,322.0,21064.87,564.0,36896.24,0.074
SKU_0072,High Revenue + High Volatility,93910.1,0.6481,2.0,3.5,174,135.63567527662462,348.0,47201.21,609.0,82602.13,0.0937
SKU_0073,High Revenue + High Volatility,80386.55,0.511,2.0,3.5,196,52.755145541081,392.0,20680.02,686.0,36190.03,0.1166
SKU_0074,High Revenue + High Volatility,137082.3,0.4752,2.0,3.5,85,122.35345723273873,170.0,20800.09,298.0,36461.33,0.0907
SKU_0075,High Revenue + High Volatility,129480.01,0.5855,2.0,3.5,78,81.55243698783029,156.0,12722.18,273.0,22263.82,0.0668
SKU_0076,High Revenue + High Volatility,131030.5,0.5413,2.0,3.5,131,101.90248514672594,262.0,26698.45,458.0,46671.34,0.0977
SKU_0077,High Revenue + High Volatility,133988.92,0.6335,2.0,3.5,51,166.3707103689434,102.0,16969.81,178.0,29613.99,0.104
SKU_0078,High Revenue + High Volatility,85183.13,0.4311,2.0,3.5,178,191.18562563485798,356.0,68062.08,623.0,119108.64,0.0836
SKU_0079,High Revenue + High Volatility,105092.6,0.7898,2.0,3.5,96,60.862440821951225,192.0,11685.59,336.0,20449.78,0.1033
SKU_0080,High Revenue + High Volatility,88110.83,0.7945,2.0,3.5,197,130.13633089646677,394.0,51273.71,690.0,89794.07,0.0795
SKU_0081,High Revenue + High Volatility,140417.24,0.6793,2.0,3.5,60,182.38002287294,120.0,21885.6,210.0,38299.8,0.1073
SKU_0082,High Revenue + High Volatility,123630.87,0.6144,2.0,3.5,179,62.37628016606319,358.0,22330.71,626.0,39047.55,0.0805
SKU_0083,High Revenue + High Volatility,103162.86,0.5238,2.0,3.5,168,173.67710703452508,336.0,58355.51,588.0,102122.14,0.0754
SKU_0084,High Revenue + High Volatility,84449.08,0.7255,2.0,3.5,189,103.6702026392407,378.0,39187.34,662.0,68629.67,0.1128
SKU_0085,High Revenue + High Volatility,101768.76,0.6739,2.0,3.5,69,98.3142053329003,138.0,13567.36,242.0,23792.04,0.0929
SKU_0086,High Revenue + High Volatility,102762.83,0.465,2.0,3.5,54,196.61995794721787,108.0,21234.96,189.0,37161.17,0.0771
SKU_0087,High Revenue + High Volatility,131072.43,0.7644,2.0,3.5,86,80.12886347934412,172.0,13782.16,301.0,24118.79,0.1161
SKU_0088,High Revenue + High Volatility,124629.02,0.729,2.0,3.5,186,153.97909112340216,372.0,57280.22,651.0,100240.39,0.1015
SKU_0089,High Revenue + High Volatility,142104.89,0.7799,2.0,3.5,102,173.21610920147998,204.0,35336.09,357.0,61838.15,0.0732
SKU_0090,High Revenue + High Volatility,113055.04,0.6903,2.0,3.5,148,56.17752429189075,296.0,16628.55,518.0,29099.96,0.0969
SKU_0091,High Revenue + High Volatility,88371.6,0.6454,2.0,3.5,135,150.55781875316183,270.0,40650.61,472.0,71063.29,0.1122
SKU_0092,High Revenue + High Volatility,129927.14,0.5673,2.0,3.5,157,192.73249615329905,314.0,60518.0,550.0,106002.87,0.1018
SKU_0093,High Revenue + High Volatility,133254.95,0.7731,2.0,3.5,73,68.6329950092089,146.0,10020.42,256.0,17570.05,0.0747
SKU_0094,High Revenue + High Volatility,119289.4,0.7464,2.0,3.5,130,184.43319540275576,260.0,47952.63,455.0,83917.1,0.0989
SKU_0095,High Revenue + High Volatility,133967.7,0.4181,2.0,3.5,169,139.21649560654043,338.0,47055.18,592.0,82416.17,0.0971
SKU_0096,High Revenue + High Volatility,114565.69,0.4105,2.0,3.5,108,142.49068727937112,216.0,30777.99,378.0,53861.48,0.1093
SKU_0097,High Revenue + High Volatility,116591.3,0.5506,2.0,3.5,177,141.9416262298409,354.0,50247.34,620.0,88003.81,0.0707
SKU_0098,High Revenue + High Volatility,109927.87,0.7242,2.0,3.5,163,94.82538295059707,326.0,30913.07,570.0,54050.47,0.102
SKU_0099,High Revenue + High Volatility,81779.34,0.7949,2.0,3.5,164,190.28027229491894,328.0,62411.93,574.0,109220.88,0.0616
SKU_0100,High Revenue + High Volatility,87552.4,0.4602,2.0,3.5,63,192.1025693946558,126.0,24204.92,220.0,42262.57,0.1018
SKU_0101,High Revenue + High Volatility,82200.04,0.6377,2.0,3.5,58,143.79569903209216,116.0,16680.3,203.0,29190.53,0.1176
SKU_0102,High Revenue + High Volatility,124548.73,0.5524,2.0,3.5,89,167.5134088912422,178.0,29817.39,312.0,52264.18,0.0705
SKU_0103,High Revenue + High Volatility,102004.92,0.788,2.0,3.5,74,141.8386978821737,148.0,20992.13,259.0,36736.22,0.0787
SKU_0104,High Revenue + High Volatility,115599.95,0.7368,2.0,3.5,152,122.6597671361061,304.0,37288.57,532.0,65255.0,0.095
SKU_0105,High Revenue + High Volatility,143529.65,0.7353,2.0,3.5,71,149.1230177448876,142.0,21175.47,248.0,36982.51,0.1039
SKU_0106,High Revenue + High Volatility,97450.46,0.5875,2.0,3.5,53,132.95021788879376,106.0,14092.72,186.0,24728.74,0.0807
SKU_0107,High Revenue + High Volatility,108726.8,0.5659,2.0,3.5,78,139.62137939478953,156.0,21780.94,273.0,38116.64,0.0999
SKU_0108,High Revenue + High Volatility,132888.58,0.5094,2.0,3.5,158,167.57488301282928,316.0,52953.66,553.0,92668.91,0.114
SKU_0109,High Revenue + High Volatility,96015.87,0.4226,2.0,3.5,147,122.13557471734772,294.0,35907.86,514.0,62777.69,0.1036
SKU_0110,High Revenue + High Volatility,85388.59,0.7459,2.0,3.5,86,56.113115913870914,172.0,9651.46,301.0,16890.05,0.1027
SKU_0111,High Revenue + High Volatility,100282.6,0.7252,2.0,3.5,124,74.59992214842458,248.0,18500.78,434.0,32376.37,0.0829
SKU_0112,High Revenue + High Volatility,91285.49,0.7999,2.0,3.5,119,115.79108247343076,238.0,27558.28,416.0,48169.09,0.1147
SKU_0113,High Revenue + High Volatility,145078.84,0.7987,2.0,3.5,195,158.72398398110874,390.0,61902.35,682.0,108249.76,0.0766
SKU_0114,High Revenue + High Volatility,136568.43,0.6222,2.0,3.5,177,138.9917972465268,354.0,49203.1,620.0,86174.91,0.0723
SKU_0115,High Revenue + High Volatility,124338.26,0.7076,2.0,3.5,134,147.54412788101808,268.0,39541.83,469.0,69198.2,0.0819
SKU_0116,High Revenue + High Volatility,141002.24,0.7779,2.0,3.5,91,121.89183928644309,182.0,22184.31,318.0,38761.6,0.099
SKU_0117,High Revenue + High Volatility,136257.05,0.7399,2.0,3.5,149,142.3613032913364,298.0,42423.67,522.0,74312.6,0.1117
SKU_0118,High Revenue + High Volatility,93059.9,0.4989,2.0,3.5,90,99.35261567219933,180.0,17883.47,315.0,31296.07,0.0679
SKU_0119,High Revenue + High Volatility,142479.13,0.5802,2.0,3.5,83,120.52738890449976,166.0,20007.55,290.0,34952.94,0.1088
SKU_0120,High Revenue + High Volatility,117753.96,0.4517,2.0,3.5,66,161.64185983924335,132.0,21336.73,231.0,37339.27,0.1088
SKU_0121,High Revenue + High Volatility,136520.81,0.7816,2.0,3.5,171,180.77491684596816,342.0,61825.02,598.0,108103.4,0.0952
SKU_0122,High Revenue + High Volatility,142726.39,0.6425,2.0,3.5,125,115.04830009345834,250.0,28762.08,438.0,50391.16,0.1056
SKU_0123,High Revenue + High Volatility,102260.24,0.4915,2.0,3.5,136,56.549248656104176,272.0,15381.4,476.0,26917.44,0.0709
SKU_0124,High Revenue + High Volatility,87703.63,0.6687,2.0,3.5,166,74.2508816220204,332.0,24651.29,581.0,43139.76,0.0702
SKU_0125,High Revenue + High Volatility,95955.46,0.6473,2.0,3.5,155,53.129170893730716,310.0,16470.04,542.0,28796.01,0.1118
SKU_0126,High Revenue + High Volatility,109897.55,0.5433,2.0,3.5,135,147.98945288559952,270.0,39957.15,472.0,69851.02,0.0899
SKU_0127,High Revenue + High Volatility,137261.03,0.4454,2.0,3.5,76,99.84719380326634,152.0,15176.77,266.0,26559.35,0.0748
SKU_0128,High Revenue + High Volatility,140251.14,0.6686,2.0,3.5,106,131.3717953579051,212.0,27850.82,371.0,48738.94,0.1013
SKU_0129,High Revenue + High Volatility,80486.65,0.6081,2.0,3.5,80,123.99152701756994,160.0,19838.64,280.0,34717.63,0.1135
SKU_0130,High Revenue + High Volatility,115752.31,0.7089,2.0,3.5,183,62.228973432864,366.0,22775.8,640.0,39826.54,0.0979
SKU_0131,High Revenue + High Volatility,109218.77,0.6081,2.0,3.5,147,110.48920416857477,294.0,32483.83,514.0,56791.45,0.0808
SKU_0132,High Revenue + High Volatility,95547.55,0.7409,2.0,3.5,61,83.0841687383485,122.0,10136.27,214.0,17780.01,0.089
SKU_0133,High Revenue + High Volatility,88390.58,0.6208,2.0,3.5,102,112.7599683001479,204.0,23003.03,357.0,40255.31,0.1051
SKU_0134,High Revenue + High Volatility,103633.06,0.6244,2.0,3.5,187,80.5367420513364,374.0,30120.74,654.0,52671.03,0.0641
SKU_0135,High Revenue + High Volatility,146003.68,0.7507,2.0,3.5,194,176.06786094154003,388.0,68314.33,679.0,119550.08,0.073
SKU_0136,High Revenue + High Volatility,102624.21,0.5614,2.0,3.5,171,76.12900048673805,342.0,26036.12,598.0,45525.14,0.0878
SKU_0137,High Revenue + High Volatility,116315.34,0.4536,2.0,3.5,95,194.11708272304654,190.0,36882.25,332.0,64446.87,0.0963
SKU_0138,High Revenue + High Volatility,129211.33,0.4115,2.0,3.5,113,112.38610492204111,226.0,25399.26,396.0,44504.9,0.0803
SKU_0139,High Revenue + High Volatility,105454.07,0.7021,2.0,3.5,179,176.93679380285738,358.0,63343.37,626.0,110762.43,0.0779
SKU_0140,High Revenue + High Volatility,148024.75,0.6481,2.0,3.5,103,144.31472273089176,206.0,29728.83,360.0,51953.3,0.0625
SKU_0141,High Revenue + High Volatility,147371.31,0.6816,2.0,3.5,156,160.30254479986291,312.0,50014.39,546.0,87525.19,0.062
SKU_0142,High Revenue + High Volatility,97624.76,0.4852,2.0,3.5,100,165.15858321001704,200.0,33031.72,350.0,57805.5,0.0767
SKU_0143,High Revenue + High Volatility,114807.4,0.4545,2.0,3.5,85,125.72673228395267,170.0,21373.54,298.0,37466.57,0.0918
SKU_0144,High Revenue + High Volatility,101061.48,0.4058,2.0,3.5,164,131.49507850449325,328.0,43130.39,574.0,75478.18,0.0934
SKU_0145,High Revenue + High Volatility,99938.83,0.5402,2.0,3.5,75,127.09938017130875,150.0,19064.91,262.0,33300.04,0.0896
SKU_0146,High Revenue + High Volatility,82582.09,0.636,2.0,3.5,78,138.2087567135119,156.0,21560.57,273.0,37730.99,0.0846
SKU_0147,High Revenue + High Volatility,122669.5,0.5569,2.0,3.5,198,54.409166863476095,396.0,21546.03,693.0,37705.55,0.0751
SKU_0148,High Revenue + High Volatility,115187.53,0.575,2.0,3.5,60,109.32727547735229,120.0,13119.27,210.0,22958.73,0.084
SKU_0149,High Revenue + High Volatility,83603.51,0.7617,2.0,3.5,89,140.92830703417573,178.0,25085.24,312.0,43969.63,0.0683
SKU_0150,High Revenue + High Volatility,99505.25,0.5393,2.0,3.5,60,139.65853478837965,120.0,16759.02,210.0,29328.29,0.0669
SKU_0151,High Revenue + High Volatility,143578.61,0.6056,2.0,3.5,162,168.94341419084475,324.0,54737.67,567.0,95790.92,0.078
SKU_0152,High Revenue + High Volatility,96769.33,0.7135,2.0,3.5,88,148.2514008248163,176.0,26092.25,308.0,45661.43,0.1197
SKU_0153,High Revenue + High Volatility,90142.64,0.5586,2.0,3.5,103,198.81999745110085,206.0,40956.92,360.0,71575.2,0.0796
SKU_0154,High Revenue + High Volatility,114261.69,0.6488,2.0,3.5,147,92.57817929129675,294.0,27217.98,514.0,47585.18,0.1162
SKU_0155,High Revenue + High Volatility,148995.53,0.7449,2.0,3.5,104,103.87265444993471,208.0,21605.51,364.0,37809.65,0.0835
SKU_0156,High Revenue + High Volatility,96943.87,0.7798,2.0,3.5,160,107.57707278016944,320.0,34424.66,560.0,60243.16,0.0863
SKU_0157,High Revenue + High Volatility,127049.49,0.4588,2.0,3.5,199,119.87192105303728,398.0,47709.02,696.0,83430.86,0.1078
SKU_0158,High Revenue + High Volatility,133313.37,0.7706,2.0,3.5,118,175.39970956718142,236.0,41394.33,413.0,72440.08,0.0656
SKU_0159,High Revenue + High Volatility,96634.63,0.5968,2.0,3.5,105,85.36881409388147,210.0,17927.45,368.0,31415.72,0.0709
SKU_0160,High Revenue + High Volatility,130975.14,0.5033,2.0,3.5,82,166.40003105531443,164.0,27289.61,287.0,47756.81,0.1184
SKU_0161,High Revenue + High Volatility,105744.82,0.5837,2.0,3.5,85,110.79652746286152,170.0,18835.41,298.0,33017.37,0.0904
SKU_0162,High Revenue + High Volatility,124261.41,0.792,2.0,3.5,197,140.27830754930127,394.0,55269.65,690.0,96792.03,0.0627
SKU_0163,High Revenue + High Volatility,124347.08,0.597,2.0,3.5,130,144.8810799839459,260.0,37669.08,455.0,65920.89,0.0628
SKU_0164,High Revenue + High Volatility,117504.23,0.5315,2.0,3.5,158,105.92729557834016,316.0,33473.03,553.0,58577.79,0.1144
SKU_0165,High Revenue + High Volatility,86320.28,0.6534,2.0,3.5,122,126.89228078087078,244.0,30961.72,427.0,54183.0,0.1124
SKU_0166,High Revenue + High Volatility,138471.17,0.4961,2.0,3.5,89,111.95467619715455,178.0,19927.93,312.0,34929.86,0.0875
SKU_0167,High Revenue + High Volatility,102454.6,0.4303,2.0,3.5,66,60.369917927992915,132.0,7968.83,231.0,13945.45,0.0698
SKU_0168,High Revenue + High Volatility,93056.3,0.4516,2.0,3.5,178,115.57480832252398,356.0,41144.63,623.0,72003.11,0.1098
SKU_0169,High Revenue + High Volatility,82854.26,0.4512,2.0,3.5,110,64.60900888303283,220.0,14213.98,385.0,24874.47,0.0795
SKU_0170,High Revenue + High Volatility,121362.51,0.4608,2.0,3.5,153,110.75311986204824,306.0,33890.45,536.0,59363.67,0.0851
SKU_0171,High Revenue + High Volatility,127429.51,0.4555,2.0,3.5,91,138.9377599747673,182.0,25286.67,318.0,44182.21,0.1009
SKU_0172,High Revenue + High Volatility,81161.15,0.6563,2.0,3.5,74,136.9122349015251,148.0,20263.01,259.0,35460.27,0.0812
SKU_0173,High Revenue + High Volatility,115846.51,0.4728,2.0,3.5,88,149.39319185124805,176.0,26293.2,308.0,46013.1,0.0977
SKU_0174,High Revenue + High Volatility,95854.7,0.5383,2.0,3.5,84,64.28922619319394,168.0,10800.59,294.0,18901.03,0.1131
SKU_0175,High Revenue + High Volatility,125162.1,0.7587,2.0,3.5,180,147.8184868295657,360.0,53214.66,630.0,93125.65,0.1078
SKU_0176,High Revenue + High Volatility,92205.65,0.5896,2.0,3.5,157,96.82220850446706,314.0,30402.17,550.0,53252.21,0.0829
SKU_0177,High Revenue + High Volatility,128365.64,0.667,2.0,3.5,151,109.85689192056665,302.0,33176.78,528.0,58004.44,0.0773
SKU_0178,High Revenue + High Volatility,107071.47,0.4689,2.0,3.5,147,178.69793808840586,294.0,52537.19,514.0,91850.74,0.0771
SKU_0179,High Revenue + High Volatility,145571.1,0.4769,2.0,3.5,61,51.35456061943254,122.0,6265.26,214.0,10989.88,0.0809
SKU_0180,High Revenue + High Volatility,89626.47,0.4163,2.0,3.5,68,138.2618950010908,136.0,18803.62,238.0,32906.33,0.0896
SKU_0181,High Revenue + High Volatility,103874.64,0.4676,2.0,3.5,150,139.80709701501615,300.0,41942.13,525.0,73398.73,0.085
SKU_0182,High Revenue + High Volatility,87943.15,0.5114,2.0,3.5,93,109.4989664515343,186.0,20366.81,326.0,35696.66,0.068
SKU_0183,High Revenue + High Volatility,144728.55,0.4708,2.0,3.5,98,85.55417856625043,196.0,16768.62,343.0,29345.08,0.0698
SKU_0184,High Revenue + High Volatility,141413.75,0.4355,2.0,3.5,66,85.20110573923267,132.0,11246.55,231.0,19681.46,0.0806
SKU_0185,High Revenue + High Volatility,98055.91,0.4483,2.0,3.5,123,182.5564504491129,246.0,44908.89,430.0,78499.27,0.0937
SKU_0186,High Revenue + High Volatility,126198.88,0.5843,2.0,3.5,106,116.30365606742863,212.0,24656.38,371.0,43148.66,0.0956
SKU_0187,High Revenue + High Volatility,137205.55,0.4825,2.0,3.5,104,99.63340444837579,208.0,20723.75,364.0,36266.56,0.0892
SKU_0188,High Revenue + High Volatility,118864.06,0.5457,2.0,3.5,96,117.31663607471046,192.0,22524.79,336.0,39418.39,0.1043
SKU_0189,High Revenue + High Volatility,117075.54,0.6014,2.0,3.5,61,150.4085602189042,122.0,18349.84,214.0,32187.43,0.1042
SKU_0190,High Revenue + High Volatility,96929.66,0.6762,2.0,3.5,111,71.86348523671276,222.0,15953.69,388.0,27883.03,0.0857
SKU_0191,High Revenue + High Volatility,86517.19,0.4157,2.0,3.5,129,117.41507528206066,258.0,30293.09,452.0,53071.61,0.0675
SKU_0192,High Revenue + High Volatility,142805.1,0.7198,2.0,3.5,132,138.18265566655805,264.0,36480.22,462.0,63840.39,0.0918
SKU_0193,High Revenue + High Volatility,143029.26,0.6512,2.0,3.5,57,192.28750322771506,114.0,21920.78,200.0,38457.5,0.0829
SKU_0194,High Revenue + High Volatility,124317.1,0.4327,2.0,3.5,198,87.8791673113129,396.0,34800.15,693.0,60900.26,0.0683
SKU_0195,High Revenue + High Volatility,103732.09,0.7494,2.0,3.5,130,103.88761218743684,260.0,27010.78,455.0,47268.86,0.1189
SKU_0196,High Revenue + High Volatility,104444.67,0.7683,2.0,3.5,167,106.90378848836357,334.0,35705.87,584.0,62431.81,0.0822
SKU_0197,High Revenue + High Volatility,130816.9,0.4244,2.0,3.5,74,140.83072364673242,148.0,20842.95,259.0,36475.16,0.0975
